CustomerKey,GeographyKey,Full Name,BirthDate,Gender,TotalChildren
11169,312,Bryce Richardson,04-08-1977,M,4
11170,612,Carol Howard,09-07-1982,F,4
11171,385,Jonathan Hill,03-07-1985,M,1
11172,626,Gabrielle Adams,15-09-1990,F,1
11173,552,Sarah Thomas,04-04-1987,F,0
11174,338,Nicholas Robinson,26-04-1977,M,0
11175,300,Luis Wang,05-02-1970,M,0
11176,50,Mason Roberts,14-03-1978,M,4
11177,359,Jose Flores,06-10-1962,M,2
11178,334,Nathan Johnson,02-10-1969,M,2
11179,300,Molly Rodriguez,11-03-1984,F,2
11180,307,April Anand,09-12-1988,F,1
11181,338,Devin Martin,29-12-1975,M,2
11182,638,Stephanie Torres,31-05-1981,F,4
11183,368,Jasmine Lee,29-09-1966,F,4
11184,311,Meghan Hernandez,22-07-1992,F,4
11185,53,Ashley Henderson,20-01-1981,F,4
11186,352,Sarah Price,12-02-1990,F,4
11187,612,Jennifer Cooper,19-01-1988,F,4
11188,361,Catherine Morris,08-03-1968,F,4
11189,609,Lawrence Blanco,18-04-1965,M,4
11190,300,Carson Bryant,09-09-1981,M,5
11191,310,Kristi Perez,22-02-1969,F,5
11192,637,James Brown,31-03-1981,M,4
11193,553,Ian Gray,20-04-1999,M,4
11194,352,Jacqueline Price,09-09-1988,F,4
11195,635,Megan Henderson,28-04-1984,F,5
11196,536,Alfredo Romero,22-05-1980,M,5
11197,637,Andrea Morris,03-03-1973,F,3
11198,368,Brooke Sanders,25-07-1979,F,4
11199,302,Jacqueline Bennett,07-11-1995,F,4
11200,69,Jason Griffin,04-04-1963,M,4
11201,369,Amanda Foster,30-08-1986,F,4
11202,334,Alexia Price,06-09-1991,F,5
11203,60,Luis Diaz,12-09-1968,M,2
11204,536,Destiny Rivera,24-03-1996,F,2
11205,612,Abby Fernandez,07-09-1986,F,2
11206,626,Blake Flores,18-10-1991,M,2
11207,635,Danielle Cox,09-11-1992,F,2
11208,325,Maria Reed,09-05-1990,F,2
11209,336,Allison Evans,24-03-1984,F,2
11210,383,Edward Wood,02-04-1985,M,4
11211,50,Samantha Russell,20-07-1996,F,2
11212,53,Chloe Campbell,26-10-1997,F,2
11213,614,Stephanie Murphy,25-07-1991,F,2
11214,545,Charles Miller,29-04-1965,M,2
11215,62,Ana Perry,28-11-1966,F,2
11216,547,Jasmine Torres,09-12-1960,F,2
11217,547,Natalie Adams,23-01-1999,F,2
11218,642,Olivia Brown,09-07-1967,F,2
11219,553,Charles Cook,06-04-1974,M,2
11220,310,Erica Huang,27-02-1969,F,2
11221,334,Nathan Perry,15-08-1983,M,4
11222,369,Alexandra Rivera,26-01-1961,F,3
11223,52,Hailey Patterson,25-02-1979,F,2
11224,612,Tiffany Li,17-01-1968,F,2
11225,635,Madison Lee,06-12-1976,F,2
11226,552,Sydney Ross,30-10-1999,F,2
11227,310,Marshall Chavez,27-05-1964,M,2
11228,316,Ashley Jones,29-07-1966,F,2
11229,355,Adrian Stewart,21-08-1978,M,4
11230,369,Amber Turner,17-04-1987,F,4
11231,611,Dennis Zhang,11-12-1995,M,2
11232,616,Hailey Bryant,19-12-1982,F,3
11233,299,Todd Li,29-03-1980,M,4
11234,337,Anna Griffin,26-11-1984,F,4
11235,607,Angel Stewart,07-03-1979,M,4
11236,609,Jeremy Butler,01-01-1973,M,5
11237,161,Clarence Anand,03-09-1991,M,2
11238,232,Mayra Prasad,26-04-1974,F,2
11239,249,Latoya Goel,22-11-1978,F,2
11240,273,Anne Hernandez,29-01-1988,F,2
11241,211,Lisa Cai,21-04-1981,F,2
11242,209,Larry Munoz,05-10-1974,M,2
11243,237,Robin Alvarez,18-12-1980,F,2
11244,267,Alexis Coleman,21-01-1999,F,2
11245,132,Ricky Vazquez,15-11-1968,M,3
11246,147,Latasha Rubio,04-08-1986,F,3
11247,242,Claudia Zhou,09-09-1982,F,3
11248,223,Tristan Alexander,29-05-1976,M,3
11249,178,Cindy Patel,01-11-1970,F,3
11250,276,Shannon Liu,25-01-1973,F,3
11251,50,Xavier Long,19-02-1982,M,4
11252,335,Nicholas Thompson,16-07-1998,M,3
11253,69,José Hernandez,08-12-1985,M,2
11254,612,Johnathan Vance,10-08-1964,M,4
11255,612,Colin Lin,20-02-1999,M,4
11256,626,Katelyn Hernandez,10-02-1971,F,4
11257,345,Jacqueline Powell,23-09-1995,F,1
11258,352,Xavier Hill,14-03-1998,M,1
11259,548,Victoria Stewart,30-11-1973,F,4
11260,302,Katelyn Kelly,05-08-1991,F,2
11261,359,Stephanie Collins,14-06-1988,F,1
11262,60,Jennifer Simmons,07-12-1968,F,4
11263,612,Trinity Richardson,08-09-1990,F,5
11264,618,Eduardo Martin,17-03-1993,M,5
11265,623,Elizabeth Jones,13-11-1966,F,5
11266,632,Taylor Howard,27-01-1987,F,0
11267,302,David Diaz,28-09-1971,M,4
11268,312,Katelyn Carter,05-10-1997,F,2
11269,314,Ryan Foster,15-05-1985,M,2
11270,334,Robert Lee,24-07-1997,M,2
11271,360,Danielle Reed,30-04-1980,F,2
11272,300,Lauren Martinez,27-08-1988,F,4
11273,331,Nathan Lal,16-10-1962,M,2
11274,609,Kyle Foster,06-01-1996,M,2
11275,310,Jenny Rai,28-12-1993,F,4
11276,49,Nancy Chapman,28-12-1987,F,4
11277,62,Charles Jackson,23-02-1999,M,4
11278,614,Jonathan Phillips,08-01-1998,M,0
11279,616,Amanda Cook,16-08-1997,F,0
11280,626,Robert Collins,16-04-1974,M,0
11281,301,Megan Barnes,30-12-1983,F,4
11282,612,Christian Thomas,24-03-1992,M,5
11283,299,Arturo Lal,23-11-1982,M,1
11284,307,Theresa Serrano,06-07-1973,F,1
11285,322,Jeremy Anderson,18-08-1976,M,1
11286,374,Hunter Griffin,17-01-1978,M,0
11287,49,Henry Garcia,12-12-1998,M,5
11288,301,Cindy Sanchez,11-09-1988,F,1
11289,315,Maria Carter,06-01-1989,F,1
11290,334,Katelyn Sanchez,02-01-1985,F,1
11291,335,Jenna Wright,16-12-1978,F,1
11292,361,Seth Phillips,06-05-1984,M,1
11293,632,Luke Long,11-05-1978,M,2
11294,618,Dalton Clark,29-09-1983,M,2
11295,311,Taylor Lewis,21-10-1969,F,2
11296,616,Haley Richardson,13-02-1999,F,2
11297,301,Noah Coleman,14-07-1991,M,4
11298,307,Jon Luo,29-08-1970,M,4
11299,301,Orlando Vazquez,10-06-1992,M,4
11300,54,Fernando Barnes,10-05-1988,M,5
11301,607,Cameron Rodriguez,26-08-1970,M,5
11302,539,Spencer Russell,12-01-1997,M,4
11303,614,Julia Coleman,19-01-1994,F,4
11304,547,Julia Garcia,27-12-1988,F,0
11305,307,Sean Evans,08-02-1961,M,3
11306,312,Micah Zhou,12-09-1966,M,3
11307,314,Hunter Rodriguez,20-06-1971,M,2
11308,546,Ian Gonzales,09-11-1967,M,2
11309,536,Victoria Lewis,01-04-1993,F,2
11310,360,Erin Sanders,17-07-1982,F,3
11311,626,Gabrielle Lopez,12-10-1961,F,3
11312,626,Sara Richardson,03-04-1979,F,3
11313,632,Trevor Jenkins,27-07-1998,M,3
11314,618,Mya Flores,11-02-1973,F,3
11315,632,Hailey Ward,21-09-1979,F,3
11316,51,Luke Allen,12-04-1985,M,3
11317,548,Victoria Russell,25-03-1982,F,3
11318,614,Jessica Wilson,17-10-1997,F,3
11319,348,Jade Bailey,04-01-1990,F,4
11320,325,Morgan Hill,17-10-1964,F,4
11321,612,Terrance Raman,05-10-1994,M,5
11322,611,Sydney Garcia,06-05-1970,F,5
11323,314,Jose Patterson,29-08-1967,M,2
11324,325,Zachary Anderson,03-02-1981,M,5
11325,637,Elijah Ross,07-03-1973,M,5
11326,300,Rafael Xie,16-03-1984,M,2
11327,301,Jaime Moreno,15-03-1963,M,5
11328,55,Julian Griffin,13-03-1975,M,5
11329,311,Andy Alvarez,25-03-1965,M,5
11330,59,Ryan Thompson,24-04-1999,M,2
11331,63,Samantha Jenkins,23-04-1999,F,4
11332,153,Deanna Ramos,19-11-1962,F,1
11333,261,Emily Miller,03-07-1982,F,1
11334,269,Nicole Brown,02-03-1965,F,1
11335,120,Carla Raman,13-04-1974,F,1
11336,204,Shaun Raji,20-01-1968,M,1
11337,273,Jerome Romero,05-09-1995,M,1
11338,154,Frank Navarro,04-06-1960,M,1
11339,202,Dennis She,02-05-1961,M,1
11340,192,Melody Munoz,13-09-1961,F,1
11341,236,Randy Zeng,10-01-1983,M,1
11342,191,Marshall Wang,21-01-1996,M,5
11343,264,Arthur Carlson,01-10-1978,M,1
11344,262,Jessie Jimenez,29-05-1992,F,1
11345,224,Robin Ramos,30-11-1970,F,1
11346,196,Deanna Gutierrez,03-09-1976,F,2
11347,156,Roy Navarro,24-03-1971,M,2
11348,151,Shawn Rai,25-07-1973,M,2
11349,134,Mindy Luo,16-05-1995,F,2
11350,265,Cara Zhou,06-07-1993,F,1
11351,253,Anne Ramos,28-08-1970,F,1
11352,222,Raymond Rodriguez,14-12-1968,M,2
11353,271,Carrie Ortega,30-11-1990,F,1
11354,119,Deanna Suarez,16-07-1997,F,1
11355,275,Roberto Gutierrez,28-11-1960,M,1
11356,6,Terrence Carson,26-05-1980,M,0
11357,21,Ramon Ye,30-11-1960,M,0
11358,2,Cynthia Malhotra,31-05-1982,F,0
11359,7,Jarrod Prasad,30-12-1993,M,0
11360,26,Tyrone Serrano,08-05-1983,M,0
11361,10,Cindy Ramos,13-03-1966,F,0
11362,33,Damien Shan,26-06-1963,M,0
11363,35,Julian Ross,16-08-1973,M,0
11364,34,Jennifer Collins,20-08-1982,F,1
11365,29,Brittney Sun,12-12-1998,F,1
11366,37,Virginia Patel,11-12-1981,F,0
11367,12,Calvin Nara,18-04-1988,M,0
11368,26,Edward Miller,04-02-1961,M,1
11369,29,Ashlee Tang,22-07-1994,F,0
11370,38,Alicia Xu,12-01-1995,F,0
11371,26,Lacey Jai,22-03-1989,F,0
11372,20,Wendy Romero,17-03-1998,F,0
11373,135,Carly Luo,22-12-1967,F,1
11374,162,Jimmy Ortega,23-04-1986,M,1
11375,240,Francisco Martinez,21-07-1963,M,1
11376,268,Lance Vazquez,07-01-1998,M,1
11377,161,David Robinett,12-09-1998,M,4
11378,184,Shannon Liang,13-11-1981,F,1
11379,214,Gary Vazquez,24-08-1997,M,1
11380,175,Mitchell Kumar,10-04-1974,M,2
11381,249,Meredith Raman,08-08-1997,F,2
11382,189,Edward Patterson,22-03-1971,M,2
11383,206,Marie Gill,03-07-1995,F,3
11384,211,Tiffany Wang,05-03-1999,F,3
11385,279,Miguel Allen,22-05-1978,M,3
11386,127,Jaclyn Cai,25-11-1975,F,3
11387,238,Megan Ramirez,24-07-1996,F,3
11388,279,Joseph Martin,06-04-1974,M,3
11389,130,Karl Shan,23-08-1976,M,1
11390,208,Christine Raji,02-07-1980,F,1
11391,135,Lindsay Xie,28-01-1996,F,2
11392,131,Willie Zhao,05-05-1998,M,2
11393,182,Kurt Pal,02-08-1997,M,2
11394,259,George McDonald,04-01-1991,M,2
11395,118,Beth Gutierrez,16-10-1993,F,0
11396,175,Ian Lopez,23-11-1997,M,2
11397,197,Latoya Shan,20-09-1976,F,0
11398,261,Colin Nath,02-08-1960,M,0
11399,202,Brenda Mehta,28-08-1984,F,1
11400,251,Franklin Raji,19-07-1967,M,0
11401,204,Linda Navarro,07-06-1968,F,0
11402,183,Kelli Cai,16-04-1962,F,0
11403,179,Nancy Schmidt,05-05-1980,F,0
11404,133,Megan Taylor,05-03-1995,F,3
11405,143,Bonnie Goel,03-08-1998,F,3
11406,199,Latoya Xu,05-05-1991,F,2
11407,170,Mario She,27-10-1993,M,2
11408,257,Darren Gill,29-04-1970,M,2
11409,208,Jacqueline Hayes,23-05-1968,F,2
11410,201,Maurice Goel,13-04-1967,M,1
11411,121,Devin Ross,20-11-1995,M,3
11412,121,Sydney Bryant,10-07-1993,F,4
11413,238,Megan Stewart,21-10-1962,F,4
11414,241,Ian Richardson,28-06-1971,M,4
11415,127,Randy She,29-11-1962,M,5
11416,185,Katrina Becker,03-10-1980,F,3
11417,222,Lacey Zheng,15-07-1989,F,5
11418,160,Rafael Hu,23-05-1993,M,5
11419,273,Kyle Scott,21-09-1975,M,3
11420,189,Jordan Turner,05-03-1962,M,2
11421,172,Amy Sun,20-08-1981,F,3
11422,268,Dustin Deng,24-08-1967,M,4
11423,147,Jasmine Stewart,03-02-1967,F,4
11424,164,Pamela Garcia,16-10-1967,F,4
11425,184,Ariana Gray,22-02-1988,F,4
11426,156,Kristopher Mehta,13-01-1969,M,3
11427,168,Desiree Dominguez,23-05-1972,F,2
11428,173,Deanna Perez,04-11-1994,F,2
11429,218,Marco Lopez,25-04-1993,M,4
11430,155,Casey Yuan,22-08-1976,F,4
11431,120,Bryant Garcia,28-06-1968,M,4
11432,206,Dominique Prasad,19-07-1964,F,4
11433,224,Maurice Shan,27-04-1996,M,5
11434,274,Andre Lopez,08-08-1980,M,5
11435,168,Robin Romero,18-06-1961,F,3
11436,273,Taylor Cox,03-05-1970,F,3
11437,190,Alfredo Moreno,22-09-1965,M,4
11438,162,Jenny Nara,13-04-1999,F,4
11439,217,Janet Munoz,30-01-1975,F,4
11440,187,Sergio Weber,21-11-1979,M,5
11441,192,Erika Gomez,12-09-1977,F,5
11442,224,Joseph Harris,03-12-1976,M,5
11443,31,Grace Griffin,27-06-1994,F,0
11444,32,Tina Mehta,17-02-1999,F,0
11445,15,Kari Kim,06-03-1961,F,0
11446,5,Bethany Chander,11-02-1965,F,0
11447,25,Jennifer Roberts,23-03-1973,F,0
11448,35,Kyle Patterson,28-05-1979,M,0
11449,37,Alvin Hu,18-06-1966,M,0
11450,28,Brett Mehta,27-06-1974,M,4
11451,10,Ruben Muñoz,19-04-1965,M,0
11452,21,Erika Rubio,13-10-1960,F,0
11453,31,Stanley Malhotra,08-12-1972,M,0
11454,35,Melinda Navarro,15-08-1965,F,0
11455,36,Ross Sanz,08-02-1981,M,0
11456,17,Jon Gao,21-07-1981,M,5
11457,19,Jaime Gutierrez,09-02-1979,F,0
11458,16,Bianca Liu,07-10-1977,F,0
11459,13,Tasha Deng,18-03-1981,F,0
11460,33,Melvin Chande,10-02-1989,M,0
11461,6,Victor Jimenez,19-03-1975,M,0
11462,8,Laura Lin,22-08-1990,F,0
11463,28,Alisha Beck,19-12-1989,F,0
11464,38,Alejandro Huang,31-10-1978,M,0
11465,23,Louis Luo,24-11-1976,M,0
11466,6,Grant Tang,08-07-1999,M,0
11467,17,Arturo Zheng,09-02-1988,M,1
11468,278,Jaclyn Andersen,21-02-1978,F,1
11469,278,Edwin Raji,08-11-1986,M,0
11470,177,Jay Suarez,19-04-1968,M,0
11471,207,Latasha Suarez,24-06-1960,F,0
11472,24,Kenneth Kumar,30-05-1965,M,3
11473,221,Grace Henderson,20-12-1988,F,0
11474,265,Melvin Xu,30-12-1996,M,0
11475,251,Cesar Subram,28-03-1991,M,0
11476,241,Erika Navarro,29-07-1964,F,1
11477,127,Tristan Hughes,17-11-1990,M,0
11478,218,Billy Hernandez,22-06-1972,M,0
11479,182,Darryl Wu,16-07-1979,M,1
11480,224,Colleen Ma,12-12-1971,F,1
11481,156,Erica Hu,26-05-1960,F,1
11482,272,Adrienne Torres,26-09-1979,F,0
11483,199,Calvin Chande,14-10-1962,M,1
11484,171,Erick Sai,13-05-1967,M,2
11485,237,Donald Chandra,21-12-1983,M,2
11486,117,Ariana Rogers,23-01-1969,F,0
11487,186,Morgan Jones,24-07-1981,F,0
11488,256,Jermaine Lopez,20-08-1990,M,0
11489,262,Deborah Goel,01-09-1965,F,0
11490,217,Danny Rubio,15-03-1978,M,0
11491,255,Andre Perez,22-03-1985,M,0
11492,115,Terrence Chander,25-11-1962,M,0
11493,255,Dawn Wu,14-02-1966,F,2
11494,267,Jimmy Gutierrez,17-07-1992,M,2
11495,154,Francis Jimenez,19-02-1981,M,2
11496,272,Gary Ortega,12-04-1994,M,2
11497,261,Katrina Nath,26-03-1978,F,2
11498,49,Arturo Sun,04-11-1964,M,3
11499,311,Pedro Vance,05-11-1960,M,3
11500,52,Sarah Simmons,17-01-1991,F,0
11501,49,Brandy Chandra,03-11-1972,F,3
11502,63,Jared Peterson,03-08-1971,M,4
11503,312,Dennis Wu,15-09-1971,M,1
11504,315,Jordan Baker,03-09-1974,F,1
11505,43,Jasmine Powell,27-11-1964,F,0
11506,60,Nicholas Brown,23-04-1980,M,0
11507,69,Isabella Russell,17-04-1980,F,0
11508,626,Elizabeth Wilson,17-09-1965,F,0
11509,347,Roger Harui,04-03-1976,F,1
11510,54,Seth Roberts,13-10-1977,M,1
11511,543,Caleb Perry,26-05-1968,M,1
11512,59,Natalie Campbell,24-05-1971,F,3
11513,62,Alyssa Howard,19-11-1974,F,3
11514,642,Dalton Diaz,28-03-1986,M,1
11515,301,Shannon Huang,13-01-1989,F,1
11516,310,Mya Gonzales,05-05-1988,F,1
11517,355,Katherine Bryant,21-12-1962,F,1
11518,545,Edward Washington,13-08-1994,M,1
11519,49,Jerome Navarro,10-09-1975,M,1
11520,60,Jada Morgan,24-04-1969,F,1
11521,644,Ariana Peterson,19-05-1961,F,1
11522,546,Christian Hughes,10-10-1971,M,5
11523,54,Lucas Taylor,16-06-1996,M,1
11524,374,Alyssa Jackson,04-05-1962,F,1
11525,543,Ariana Cook,08-10-1964,F,1
11526,70,Katherine Diaz,15-08-1988,F,1
11527,361,Jenna Green,08-12-1966,F,1
11528,325,Joan Washington,04-06-1968,F,1
11529,547,Austin Bryant,22-11-1970,M,1
11530,54,Andrew Martinez,23-12-1978,M,1
11531,300,Nina Yuan,22-12-1964,F,1
11532,634,Lauren Miller,30-04-1976,F,1
11533,280,Ebony Gill,24-04-1966,F,1
11534,337,Cameron Lewis,31-05-1989,M,4
11535,543,Devin Nelson,30-11-1969,M,4
11536,322,Logan Chow,04-04-1982,M,4
11537,310,Dakota Ross,10-08-1994,M,4
11538,352,Nicole Taylor,23-05-1965,F,4
11539,311,Justin Washington,09-07-1984,M,4
11540,312,Alberto Navarro,15-09-1992,M,4
11541,547,Aidan Ross,05-03-1961,M,4
11542,278,Alejandro Tang,06-04-1985,M,1
11543,201,Sheena Chande,14-05-1978,F,1
11544,127,Joel Garcia,09-11-1978,M,1
11545,200,Reginald Dominguez,21-07-1990,M,1
11546,189,Christine Chande,26-01-1972,F,1
11547,201,Cindy Sai,11-02-1977,F,0
11548,230,Raymond Sanchez,12-07-1983,M,0
11549,257,Crystal Liang,23-05-1961,F,0
11550,263,Deb Torres,08-06-1994,F,0
11551,215,Shannon Alvarez,07-09-1962,M,3
11552,135,Eddie Rubio,31-08-1974,M,1
11553,266,Sharon Luo,20-05-1961,F,1
11554,224,Sydney Simmons,13-09-1991,F,4
11555,237,Alexandria Henderson,07-12-1994,F,1
11556,271,Lucas Evans,13-08-1993,M,1
11557,278,Felicia Ramos,13-10-1968,F,1
11558,276,Ivan Malhotra,25-11-1992,M,1
11559,161,Frederick Subram,14-04-1967,M,1
11560,248,Whitney Srini,23-09-1966,F,1
11561,159,Briana Dominguez,09-12-1994,F,5
11562,158,Jarrod Gonzalez,17-01-1987,M,1
11563,247,Cesar Srini,16-09-1994,M,1
11564,146,Jorge Liang,10-08-1960,M,1
11565,229,Erik Diaz,05-06-1973,M,2
11566,226,April Shan,27-06-1967,F,0
11567,165,Carla Perez,11-05-1969,F,0
11568,236,Alexia Foster,31-05-1960,F,2
11569,274,Troy Malhotra,20-06-1963,M,1
11570,124,Kristin Andersen,13-03-1979,F,1
11571,183,Joel Sai,21-06-1988,M,1
